,runtime_minutes,genres,title,foreign_gross,movie,production_budget,domestic_gross_y,worldwide_gross,domestic_success,foreign_success,WW_success
611,101.0,Adventure,Wreck-It Ralph,281800000.0,Wreck-It Ralph,165000000.0,189412677.0,496511521.0,1.1479556181818182,1.7078787878787878,3.0091607333333332
611,101.0,Animation,Wreck-It Ralph,281800000.0,Wreck-It Ralph,165000000.0,189412677.0,496511521.0,1.1479556181818182,1.7078787878787878,3.0091607333333332
611,101.0,Comedy,Wreck-It Ralph,281800000.0,Wreck-It Ralph,165000000.0,189412677.0,496511521.0,1.1479556181818182,1.7078787878787878,3.0091607333333332
614,142.0,Action,The Amazing Spider-Man 2,506100000.0,The Amazing Spider-Man 2,200000000.0,202853933.0,708996336.0,1.014269665,2.5305,3.54498168
614,142.0,Adventure,The Amazing Spider-Man 2,506100000.0,The Amazing Spider-Man 2,200000000.0,202853933.0,708996336.0,1.014269665,2.5305,3.54498168
614,142.0,Sci-Fi,The Amazing Spider-Man 2,506100000.0,The Amazing Spider-Man 2,200000000.0,202853933.0,708996336.0,1.014269665,2.5305,3.54498168
616,136.0,Action,The Fate of the Furious,1010.0,The Fate of the Furious,250000000.0,225764765.0,1234846267.0,0.90305906,4.04e-06,4.939385068
616,136.0,Crime,The Fate of the Furious,1010.0,The Fate of the Furious,250000000.0,225764765.0,1234846267.0,0.90305906,4.04e-06,4.939385068
616,136.0,Thriller,The Fate of the Furious,1010.0,The Fate of the Furious,250000000.0,225764765.0,1234846267.0,0.90305906,4.04e-06,4.939385068
629,137.0,Action,The Hunger Games: Mockingjay - Part 2,371700000.0,The Hunger Games: Mockingjay - Part 2,160000000.0,281723902.0,648986787.0,1.7607743875,2.323125,4.05616741875
629,137.0,Adventure,The Hunger Games: Mockingjay - Part 2,371700000.0,The Hunger Games: Mockingjay - Part 2,160000000.0,281723902.0,648986787.0,1.7607743875,2.323125,4.05616741875
629,137.0,Sci-Fi,The Hunger Games: Mockingjay - Part 2,371700000.0,The Hunger Games: Mockingjay - Part 2,160000000.0,281723902.0,648986787.0,1.7607743875,2.323125,4.05616741875
633,131.0,Action,White House Down,132300000.0,White House Down,150000000.0,73103784.0,205440387.0,0.48735856,0.882,1.36960258
633,131.0,Drama,White House Down,132300000.0,White House Down,150000000.0,73103784.0,205440387.0,0.48735856,0.882,1.36960258
633,131.0,Thriller,White House Down,132300000.0,White House Down,150000000.0,73103784.0,205440387.0,0.48735856,0.882,1.36960258
639,96.0,Action,Vice,28200000.0,Vice,60000000.0,47836282.0,70883171.0,0.7972713666666666,0.47,1.1813861833333332
639,96.0,Adventure,Vice,28200000.0,Vice,60000000.0,47836282.0,70883171.0,0.7972713666666666,0.47,1.1813861833333332
639,96.0,Sci-Fi,Vice,28200000.0,Vice,60000000.0,47836282.0,70883171.0,0.7972713666666666,0.47,1.1813861833333332
640,132.0,Biography,Vice,28200000.0,Vice,60000000.0,47836282.0,70883171.0,0.7972713666666666,0.47,1.1813861833333332
640,132.0,Comedy,Vice,28200000.0,Vice,60000000.0,47836282.0,70883171.0,0.7972713666666666,0.47,1.1813861833333332
640,132.0,Drama,Vice,28200000.0,Vice,60000000.0,47836282.0,70883171.0,0.7972713666666666,0.47,1.1813861833333332
643,144.0,Adventure,The Martian,401700000.0,The Martian,108000000.0,228433663.0,655271443.0,2.1151265092592593,3.7194444444444446,6.067328175925926
643,144.0,Drama,The Martian,401700000.0,The Martian,108000000.0,228433663.0,655271443.0,2.1151265092592593,3.7194444444444446,6.067328175925926
